Date,Close/Last,Volume,Open,High,Low
12/19/2023,98.89,30018420,98.855,99.26,98.66
12/18/2023,98.36,34746020,98.50,98.50,98.02
12/15/2023,99.15,59941260,98.69,99.35,98.58
12/14/2023,99.04,87798590,97.66,99.04,97.42
12/13/2023,96.84,70828500,95.17,96.98,95.02
12/12/2023,94.62,36996910,94.15,94.70,93.9004
12/11/2023,94.34,33909730,94.01,94.44,93.53
12/08/2023,94.54,44809250,94.42,94.715,93.91
12/07/2023,95.32,47970170,95.18,96.08,95.06
12/06/2023,95.87,61606080,95.08,96.05,94.87
12/05/2023,94.61,73588580,93.63,94.62,93.565
12/04/2023,92.615,33766250,92.49,92.83,92.09
